index,type,name
250,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul
251,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_1
252,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Constant
253,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_2
254,Add,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Add
255,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Constant_1
256,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_3
257,Tanh,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Tanh
258,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Constant_2
259,Add,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Add_1
260,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_4
261,Constant,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Constant_3
262,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/act/Mul_5
263,Conv,/vision_model/vision/_en/stages.2/blocks/blocks.5/mlp/fc2/Conv
264,Mul,/vision_model/vision/_en/stages.2/blocks/blocks.5/layer_scale/Mul
265,Add,/vision_model/vision/_en/stages.2/blocks/blocks.5/Add
266,Conv,/vision_model/vision/_en/stages.3/downsample/proj/proj.0/reparam_conv/Conv
267,Conv,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/reparam_conv/Conv
268,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul
269,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_1
270,Constant,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Constant
271,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_2
272,Add,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Add
273,Constant,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Constant_1
274,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_3
275,Tanh,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Tanh
276,Constant,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Constant_2
277,Add,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Add_1
278,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_4
279,Constant,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Constant_3
280,Mul,/vision_model/vision/_en/stages.3/downsample/proj/proj.1/act/Mul_5
281,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/token_mixer/reparam_conv/Conv
282,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/conv/conv/Conv
283,Conv,/vision_model/vision/_en/stages.3/blocks/blocks.0/mlp/fc1/Conv
