ParameterName,Count
vision_model.no_bottleneck_policy.hydra.final_layer.wide_from_device_euler.weight,192
vision_model.no_bottleneck_policy.hydra.final_layer.wide_from_device_euler.bias,6
summarizer._infeats.0.weight,1048576
summarizer._infeats.0.bias,512
summarizer.resblock.block_a.0.weight,524288
summarizer.resblock.block_a.0.bias,1024
summarizer.resblock.block_a.3.weight,524288
summarizer.resblock.block_a.3.bias,512
summarizer.resblock.block_b.1.weight,524288
summarizer.resblock.block_b.1.bias,1024
summarizer.resblock.block_b.4.weight,524288
summarizer.resblock.block_b.4.bias,512
summarizer._mu.weight,262144
summarizer._mu.bias,512
onnx::Conv_772,3136
onnx::Conv_773,64
onnx::Conv_775,3136
onnx::Conv_776,64
onnx::Conv_778,6272
onnx::Conv_779,128
onnx::Conv_781,6272
onnx::Conv_782,128
onnx::Conv_784,12544
onnx::Conv_785,256
onnx::Conv_787,12544
onnx::Conv_788,256
onnx::Conv_790,12544
onnx::Conv_791,256
onnx::Conv_793,12544
onnx::Conv_794,256
onnx::Conv_796,12544
onnx::Conv_797,256
onnx::Conv_799,12544
onnx::Conv_800,256
onnx::Conv_802,25088
onnx::Conv_803,512
onnx::Conv_805,25088
onnx::Conv_806,512
